ds,ridership
2000-1-01,1178324
2000-2-01,1178420
2000-3-01,1198004
2000-4-01,1220648
2000-5-01,1222712
2000-6-01,1181840
2000-7-01,1203196
2000-8-01,1265656
2000-9-01,1311496
2000-10-01,1297072
2000-11-01,1314200
2000-12-01,1310108
2001-1-01,1308624
2001-2-01,1319836
2001-3-01,1364728
2001-4-01,1343464
2001-5-01,1330764
2001-6-01,1274772
2001-7-01,1284724
2001-8-01,1339540
2001-9-01,1360088
2001-10-01,1335176
2001-11-01,1335388
2001-12-01,1317788
2002-1-01,1295760
2002-2-01,1287028
2002-3-01,1285280
2002-4-01,1262284
2002-5-01,1271300
2002-6-01,1169564
2002-7-01,1203752
2002-8-01,1230992
2002-9-01,1222148
2002-10-01,1247492
2002-11-01,1217872
2002-12-01,1210920
2003-1-01,1203684
2003-2-01,1185892
2003-3-01,1238560
2003-4-01,1215184
2003-5-01,1177440
2003-6-01,1130488
2003-7-01,1154548
2003-8-01,1182100
2003-9-01,1184116
2003-10-01,1171796
2003-11-01,1158720
2003-12-01,1161240
2004-1-01,1195644
2004-2-01,1209552
2004-3-01,1254724
2004-4-01,1263160
2004-5-01,1235860
2004-6-01,1185880
2004-7-01,1187280
2004-8-01,1220992
2004-9-01,1232856
2004-10-01,1243484
2004-11-01,1243108
2004-12-01,1235168
2005-1-01,1232756
2005-2-01,1218896
2005-3-01,1292940
2005-4-01,1263012
2005-5-01,1255900
2005-6-01,1179148
2005-7-01,1190092
2005-8-01,1240212
2005-9-01,1242888
2005-10-01,1278596
2005-11-01,1263552
2005-12-01,1256316
2006-1-01,1239760
2006-2-01,1270456
2006-3-01,1345352
2006-4-01,1328684
2006-5-01,1326852
2006-6-01,1216584
2006-7-01,1258992
2006-8-01,1297140
2006-9-01,1270456
2006-10-01,1293860
2006-11-01,1325492
2006-12-01,1330928
2007-1-01,1349032
2007-2-01,1337704
2007-3-01,1382376
2007-4-01,1379420
2007-5-01,1356264
2007-6-01,1294952
2007-7-01,1295484
2007-8-01,1334076
2007-9-01,1368016
2007-10-01,1371976
2007-11-01,1411968
2007-12-01,1398836
2008-1-01,1398868
2008-2-01,1419084
2008-3-01,1458520
2008-4-01,1440784
2008-5-01,1461700
2008-6-01,1388532
2008-7-01,1345284
2008-8-01,1424948
2008-9-01,1422584
2008-10-01,1470412
2008-11-01,1451044
2008-12-01,1489368
2009-1-01,1499864
2009-2-01,1479532
2009-3-01,1519980
2009-4-01,1482004
2009-5-01,1457316
2009-6-01,1404516
2009-7-01,1379140
2009-8-01,1392180
2009-9-01,1386628
2009-10-01,1388948
2009-11-01,1369572
2009-12-01,1356528
2010-1-01,1329472
2010-2-01,1318752
2010-3-01,1414724
2010-4-01,1433632
2010-5-01,1381416
2010-6-01,1290232
2010-7-01,1275304
2010-8-01,1335164
2010-9-01,1319240
2010-10-01,1335460
2010-11-01,1327736
2010-12-01,1318160
2011-1-01,1331576
2011-2-01,1355384
2011-3-01,1418312
2011-4-01,1426176
2011-5-01,1414008
2011-6-01,1294672
2011-7-01,1336176
2011-8-01,1384780
2011-9-01,1375880
2011-10-01,1408640
2011-11-01,1408204
2011-12-01,1421744
2012-1-01,1430776
2012-2-01,1435804
2012-3-01,1496528
2012-4-01,1494376
2012-5-01,1470364
2012-6-01,1378588
2012-7-01,1429084
2012-8-01,1492904
2012-9-01,1472224
2012-10-01,1495892
2012-11-01,1506620
2012-12-01,1492188
2013-1-01,1502756
2013-2-01,1537180
2013-3-01,1611820
2013-4-01,1667728
2013-5-01,1573312
2013-6-01,1500368
2013-7-01,1495780
2013-8-01,1578768
2013-9-01,1577520
2013-10-01,1601740
2013-11-01,1589584
2013-12-01,1585656
2014-1-01,1285528
2014-2-01,1598848
2014-3-01,1663212
2014-4-01,1439616
2014-5-01,1579588
2014-6-01,1511568
2014-7-01,1524360
2014-8-01,1594676
2014-9-01,1612708
2014-10-01,1615592
2014-11-01,1639708
2014-12-01,1641248
2015-1-01,1659584
2015-2-01,1677020
2015-3-01,1720652
2015-4-01,1765712
2015-5-01,1699052
2015-6-01,1600284
2015-7-01,1643388
2015-8-01,1683624
2015-9-01,1694104
2015-10-01,1719640
2015-11-01,1697248
2015-12-01,1731476
2016-1-01,1709868
2016-2-01,1719000
2016-3-01,1780412
2016-4-01,1784032
2016-5-01,1741588
2016-6-01,1649136
2016-7-01,1689256
2016-8-01,1786600
2016-9-01,1726140
2016-10-01,1738940
2016-11-01,1730828
2016-12-01,1743892
2017-1-01,1712812
2017-2-01,1709812
2017-3-01,1762416
2017-4-01,1754008
2017-5-01,1733536
2017-6-01,1621136
2017-7-01,1619308
2017-8-01,1691048
2017-9-01,1678840
2017-10-01,1660064
2017-11-01,1685116
2017-12-01,1690616
2018-1-01,1679788
2018-2-01,1672280
2018-3-01,1688804
2018-4-01,1705968
2018-5-01,1693056
2018-6-01,1564876
2018-7-01,1580888
2018-08-01,1519941
2018-09-01,1400088
2018-10-01,1568399
2018-11-01,1306838
2018-12-01,1252688
2019-01-01,1362964
2019-02-01,1275189
2019-03-01,1414371
2019-04-01,1459652
2019-05-01,1461244
2019-06-01,1404474
2019-07-01,1433919
2019-08-01,1475693
2019-09-01,1417081
2019-10-01,1525786
2019-11-01,1303914
2019-12-01,1248825
2020-01-01,1336972
2020-02-01,1282401
2020-03-01,584256
2020-04-01,90195
2020-05-01,105227
2020-06-01,149961
2020-07-01,170569
2020-08-01,167037
2020-09-01,173853
2020-10-01,200030
2020-11-01,178854
2020-12-01,163561
2021-01-01,149577
2021-02-01,159516
2021-03-01,199627
2021-04-01,215421
2021-05-01,239910
2021-06-01,286657
2021-07-01,321675
2021-08-01,355298
2021-09-01,393133
2021-10-01,410586
2021-11-01,399658
2021-12-01,380838
2022-01-01,312346
2022-02-01,360330
2022-03-01,477714
2022-04-01,482207
2022-05-01,506236
2022-06-01,535643
