ds,ridership
1997-1-01,1006096
1997-2-01,1025044
1997-3-01,1054408
1997-4-01,1057768
1997-5-01,1060976
1997-6-01,963096
1997-7-01,1022740
1997-8-01,1081216
1997-9-01,1069884
1997-10-01,1053164
1997-11-01,1056232
1997-12-01,1064320
1998-1-01,1058424
1998-2-01,1065824
1998-3-01,1032024
1998-4-01,1041568
1998-5-01,1062944
1998-6-01,1022708
1998-7-01,1048372
1998-8-01,1079240
1998-9-01,1083312
1998-10-01,1076644
1998-11-01,1068464
1998-12-01,1083948
1999-1-01,1083636
1999-2-01,1088540
1999-3-01,1135116
1999-4-01,1147420
1999-5-01,1102928
1999-6-01,1035064
1999-7-01,1079624
1999-8-01,1129776
1999-9-01,1145780
1999-10-01,1143672
1999-11-01,1126176
1999-12-01,1136368
2000-1-01,1178324
2000-2-01,1178420
2000-3-01,1198004
2000-4-01,1220648
2000-5-01,1222712
2000-6-01,1181840
2000-7-01,1203196
2000-8-01,1265656
2000-9-01,1311496
2000-10-01,1297072
2000-11-01,1314200
2000-12-01,1310108
2001-1-01,1308624
2001-2-01,1319836
2001-3-01,1364728
2001-4-01,1343464
2001-5-01,1330764
2001-6-01,1274772
2001-7-01,1284724
2001-8-01,1339540
2001-9-01,1360088
2001-10-01,1335176
2001-11-01,1335388
2001-12-01,1317788
2002-1-01,1295760
2002-2-01,1287028
2002-3-01,1285280
2002-4-01,1262284
2002-5-01,1271300
2002-6-01,1169564
2002-7-01,1203752
2002-8-01,1230992
2002-9-01,1222148
2002-10-01,1247492
2002-11-01,1217872
2002-12-01,1210920
2003-1-01,1203684
2003-2-01,1185892
2003-3-01,1238560
2003-4-01,1215184
2003-5-01,1177440
2003-6-01,1130488
2003-7-01,1154548
2003-8-01,1182100
2003-9-01,1184116
2003-10-01,1171796
2003-11-01,1158720
2003-12-01,1161240
2004-1-01,1195644
2004-2-01,1209552
2004-3-01,1254724
2004-4-01,1263160
2004-5-01,1235860
2004-6-01,1185880
2004-7-01,1187280
2004-8-01,1220992
2004-9-01,1232856
2004-10-01,1243484
2004-11-01,1243108
2004-12-01,1235168
2005-1-01,1232756
2005-2-01,1218896
2005-3-01,1292940
2005-4-01,1263012
