,ds,y
0,1943-01-01,6.57783
1,1943-02-01,6.46304
2,1943-03-01,6.23421
3,1943-04-01,6.12575
4,1943-05-01,5.93626
5,1943-06-01,5.82223
6,1943-07-01,5.71837
7,1943-08-01,5.63875
8,1943-09-01,5.64759
9,1943-10-01,5.65074
10,1943-11-01,5.57687
11,1943-12-01,5.46252
12,1944-01-01,5.39857
13,1944-02-01,5.35436
14,1944-03-01,5.37036
15,1944-04-01,5.37918
16,1944-05-01,5.4305
17,1944-06-01,5.46779
18,1944-07-01,5.4982
19,1944-08-01,5.53396
20,1944-09-01,5.54923
21,1944-10-01,5.56593
22,1944-11-01,5.5701
23,1944-12-01,5.58569
24,1945-01-01,5.60273
25,1945-02-01,5.57381
26,1945-03-01,5.66769
27,1945-04-01,5.58245
28,1945-05-01,5.60525
29,1945-06-01,5.70445
30,1945-07-01,5.74878
31,1945-08-01,5.76701
32,1945-09-01,5.75827
33,1945-10-01,5.93202
34,1945-11-01,6.09555
35,1945-12-01,6.56705
36,1946-01-01,6.50451
37,1946-02-01,6.76595
38,1946-03-01,7.00545
39,1946-04-01,7.33322
40,1946-05-01,7.53237
41,1946-06-01,7.70221
42,1946-07-01,7.93364
43,1946-08-01,8.34516
44,1946-09-01,8.5996
45,1946-10-01,8.89514
46,1946-11-01,9.21828
47,1946-12-01,9.44439
48,1947-01-01,9.7702
49,1947-02-01,10.089
50,1947-03-01,10.34585
51,1947-04-01,10.64594
52,1947-05-01,10.92631
53,1947-06-01,11.13565
54,1947-07-01,11.36412
55,1947-08-01,11.58288
56,1947-09-01,11.8603
57,1947-10-01,12.20513
58,1947-11-01,12.53487
59,1947-12-01,12.85562
60,1948-01-01,13.22861
61,1948-02-01,13.52428
62,1948-03-01,13.92124
63,1948-04-01,14.26407
64,1948-05-01,14.50028
65,1948-06-01,14.77527
66,1948-07-01,15.04157
67,1948-08-01,15.2297
68,1948-09-01,15.51514
69,1948-10-01,15.57962
70,1948-11-01,15.60337
71,1948-12-01,15.80323
72,1949-01-01,15.9017
73,1949-02-01,16.00926
74,1949-03-01,16.09298
75,1949-04-01,16.4132
76,1949-05-01,16.6381
77,1949-06-01,16.86093
78,1949-07-01,17.0611
79,1949-08-01,17.35549
80,1949-09-01,17.69516
81,1949-10-01,18.02132
82,1949-11-01,18.43599
83,1949-12-01,18.77221
84,1950-01-01,19.05087
85,1950-02-01,19.37163
86,1950-03-01,19.73483
87,1950-04-01,20.14838
88,1950-05-01,20.62168
89,1950-06-01,21.11884
90,1950-07-01,22.08629
91,1950-08-01,22.72826
92,1950-09-01,23.17157
93,1950-10-01,23.24215
94,1950-11-01,23.25856
95,1950-12-01,23.22916
96,1951-01-01,23.7976
97,1951-02-01,24.10942
98,1951-03-01,24.28096
99,1951-04-01,24.07615
100,1951-05-01,23.99488
101,1951-06-01,23.84103
102,1951-07-01,23.70657
103,1951-08-01,23.94011
104,1951-09-01,24.09829
105,1951-10-01,24.28801
106,1951-11-01,24.63974
107,1951-12-01,24.62795
108,1952-01-01,24.80192
109,1952-02-01,25.15192
110,1952-03-01,25.19558
111,1952-04-01,25.54805
112,1952-05-01,26.14647
113,1952-06-01,26.76243
114,1952-07-01,27.21019
115,1952-08-01,27.46878
116,1952-09-01,27.86982
117,1952-10-01,28.49656
118,1952-11-01,29.04911
119,1952-12-01,29.68558
120,1953-01-01,30.47945
121,1953-02-01,30.88661
122,1953-03-01,31.63933
123,1953-04-01,32.11735
124,1953-05-01,32.43182
125,1953-06-01,32.50158
126,1953-07-01,32.7923
127,1953-08-01,33.06061
128,1953-09-01,33.25574
129,1953-10-01,33.48228
130,1953-11-01,33.55831
131,1953-12-01,33.69692
132,1954-01-01,34.0649
133,1954-02-01,33.70135
134,1954-03-01,33.50766
135,1954-04-01,33.7065
136,1954-05-01,33.7048
137,1954-06-01,33.81539
138,1954-07-01,34.0572
139,1954-08-01,34.00956
140,1954-09-01,34.13728
141,1954-10-01,34.36337
142,1954-11-01,34.60856
143,1954-12-01,35.02827
144,1955-01-01,35.37251
145,1955-02-01,35.92541
146,1955-03-01,36.53032
147,1955-04-01,37.23521
148,1955-05-01,37.73678
149,1955-06-01,38.53667
150,1955-07-01,39.02943
151,1955-08-01,39.73277
152,1955-09-01,40.39419
153,1955-10-01,40.83366
154,1955-11-01,41.36682
155,1955-12-01,41.86903
156,1956-01-01,42.12013
157,1956-02-01,42.56107
158,1956-03-01,43.20525
159,1956-04-01,43.38397
160,1956-05-01,43.79961
161,1956-06-01,44.05363
162,1956-07-01,44.17342
163,1956-08-01,44.49886
164,1956-09-01,44.77898
165,1956-10-01,44.93415
166,1956-11-01,45.40079
167,1956-12-01,45.44824
168,1957-01-01,45.7005
169,1957-02-01,46.04224
170,1957-03-01,46.2453
171,1957-04-01,46.51742
172,1957-05-01,46.83804
173,1957-06-01,47.00029
174,1957-07-01,47.36847
175,1957-08-01,47.64621
176,1957-09-01,47.74148
177,1957-10-01,47.879
178,1957-11-01,47.95967
179,1957-12-01,48.07827
180,1958-01-01,48.29247
181,1958-02-01,48.09752
182,1958-03-01,47.77344
183,1958-04-01,47.6625
184,1958-05-01,47.61828
185,1958-06-01,47.50736
186,1958-07-01,47.55228
187,1958-08-01,47.59298
188,1958-09-01,47.71292
189,1958-10-01,47.82317
190,1958-11-01,47.98748
191,1958-12-01,48.39435
192,1959-01-01,48.96116
193,1959-02-01,49.51371
194,1959-03-01,50.00773
195,1959-04-01,50.46343
196,1959-05-01,51.00724
197,1959-06-01,51.67544
198,1959-07-01,52.35685
199,1959-08-01,53.03853
200,1959-09-01,53.68375
201,1959-10-01,54.36595
202,1959-11-01,54.79481
203,1959-12-01,56.01068
204,1960-01-01,56.01558
205,1960-02-01,56.36463
206,1960-03-01,56.86288
207,1960-04-01,57.7114
208,1960-05-01,57.95103
209,1960-06-01,58.38706
210,1960-07-01,58.74671
211,1960-08-01,58.94715
212,1960-09-01,59.36465
213,1960-10-01,59.62899
