ds,fuel_m,year,month,day
2022-04-01,5.692,2022,04,01
2022-03-01,5.655,2022,03,01
2022-02-01,4.66,2022,02,01
2022-01-01,4.584,2022,01,01
2021-12-01,4.597,2021,12,01
2021-11-01,4.598,2021,11,01
2021-10-01,4.4,2021,10,01
2021-09-01,4.31,2021,09,01
2021-08-01,4.319,2021,08,01
2021-07-01,4.253,2021,07,01
2021-06-01,4.182,2021,06,01
2021-05-01,4.068,2021,05,01
2021-04-01,3.911,2021,04,01
2021-03-01,3.781,2021,03,01
2021-02-01,3.434,2021,02,01
2021-01-01,3.262,2021,01,01
2020-12-01,3.143,2020,12,01
2020-11-01,3.115,2020,11,01
2020-10-01,3.137,2020,10,01
2020-09-01,3.174,2020,09,01
2020-08-01,3.156,2020,08,01
2020-07-01,3.102,2020,07,01
2020-06-01,2.972,2020,06,01
2020-05-01,2.771,2020,05,01
2020-04-01,2.827,2020,04,01
2020-03-01,3.262,2020,03,01
2020-02-01,3.447,2020,02,01
2020-01-01,3.489,2020,01,01
2019-12-01,3.61,2019,12,01
2019-11-01,3.944,2019,11,01
2019-10-01,4.116,2019,10,01
2019-09-01,3.687,2019,09,01
2019-08-01,3.555,2019,08,01
2019-07-01,3.668,2019,07,01
2019-06-01,3.787,2019,06,01
2019-05-01,4.019,2019,05,01
2019-04-01,3.894,2019,04,01
2019-03-01,3.342,2019,03,01
2019-02-01,3.236,2019,02,01
2019-01-01,3.232,2019,01,01
2018-12-01,3.368,2018,12,01
2018-11-01,3.632,2018,11,01
2018-10-01,3.76,2018,10,01
2018-09-01,3.588,2018,09,01
2018-08-01,3.556,2018,08,01
2018-07-01,3.605,2018,07,01
2018-06-01,3.673,2018,06,01
2018-05-01,3.69,2018,05,01
2018-04-01,3.617,2018,04,01
2018-03-01,3.476,2018,03,01
2018-02-01,3.418,2018,02,01
2018-01-01,3.269,2018,01,01
2017-12-01,3.187,2017,12,01
2017-11-01,3.294,2017,11,01
2017-10-01,3.137,2017,10,01
2017-09-01,3.22,2017,09,01
2017-08-01,3.073,2017,08,01
2017-07-01,3.005,2017,07,01
2017-06-01,3.08,2017,06,01
2017-05-01,3.101,2017,05,01
2017-04-01,3.067,2017,04,01
2017-03-01,3.059,2017,03,01
2017-02-01,2.946,2017,02,01
2017-01-01,2.848,2017,01,01
2016-12-01,2.738,2016,12,01
2016-11-01,2.788,2016,11,01
2016-10-01,2.862,2016,10,01
2016-09-01,2.803,2016,09,01
2016-08-01,2.745,2016,08,01
2016-07-01,2.911,2016,07,01
2016-06-01,2.93,2016,06,01
2016-05-01,2.855,2016,05,01
2016-04-01,2.822,2016,04,01
2016-03-01,2.679,2016,03,01
2016-02-01,2.477,2016,02,01
2016-01-01,2.823,2016,01,01
2015-12-01,2.776,2015,12,01
2015-11-01,2.819,2015,11,01
2015-10-01,2.945,2015,10,01
2015-09-01,3.175,2015,09,01
2015-08-01,3.594,2015,08,01
2015-07-01,3.812,2015,07,01
2015-06-01,3.596,2015,06,01
2015-05-01,3.804,2015,05,01
2015-04-01,3.261,2015,04,01
2015-03-01,3.388,2015,03,01
2015-02-01,2.756,2015,02,01
2015-01-01,2.596,2015,01,01
2014-12-01,2.916,2014,12,01
2014-11-01,3.234,2014,11,01
2014-10-01,3.585,2014,10,01
2014-09-01,3.821,2014,09,01
2014-08-01,3.961,2014,08,01
2014-07-01,4.11,2014,07,01
2014-06-01,4.163,2014,06,01
2014-05-01,4.22,2014,05,01
2014-04-01,4.21,2014,04,01
2014-03-01,3.984,2014,03,01
2014-02-01,3.726,2014,02,01
2014-01-01,3.666,2014,01,01
2013-12-01,3.642,2013,12,01
2013-11-01,3.641,2013,11,01
2013-10-01,3.829,2013,10,01
2013-09-01,3.989,2013,09,01
2013-08-01,3.919,2013,08,01
2013-07-01,4.056,2013,07,01
2013-06-01,4.05,2013,06,01
2013-05-01,4.051,2013,05,01
2013-04-01,4.031,2013,04,01
2013-03-01,4.192,2013,03,01
2013-02-01,4.127,2013,02,01
2013-01-01,3.678,2013,01,01
2012-12-01,3.628,2012,12,01
2012-11-01,3.893,2012,11,01
2012-10-01,4.458,2012,10,01
2012-09-01,4.211,2012,09,01
2012-08-01,4.109,2012,08,01
2012-07-01,3.821,2012,07,01
2012-06-01,4.133,2012,06,01
2012-05-01,4.353,2012,05,01
2012-04-01,4.292,2012,04,01
2012-03-01,4.414,2012,03,01
2012-02-01,4.027,2012,02,01
2012-01-01,3.747,2012,01,01
2011-12-01,3.648,2011,12,01
2011-11-01,3.848,2011,11,01
2011-10-01,3.89,2011,10,01
2011-09-01,3.971,2011,09,01
2011-08-01,3.823,2011,08,01
2011-07-01,3.844,2011,07,01
2011-06-01,3.965,2011,06,01
2011-05-01,4.229,2011,05,01
2011-04-01,4.206,2011,04,01
2011-03-01,4.002,2011,03,01
2011-02-01,3.576,2011,02,01
2011-01-01,3.389,2011,01,01
2010-12-01,3.297,2010,12,01
2010-11-01,3.205,2010,11,01
2010-10-01,3.146,2010,10,01
2010-09-01,3.064,2010,09,01
2010-08-01,3.186,2010,08,01
2010-07-01,3.171,2010,07,01
2010-06-01,3.134,2010,06,01
2010-05-01,3.136,2010,05,01
2010-04-01,3.138,2010,04,01
2010-03-01,3.104,2010,03,01
2010-02-01,2.993,2010,02,01
2010-01-01,3.065,2010,01,01
2009-12-01,2.964,2009,12,01
2009-11-01,3.006,2009,11,01
2009-10-01,3.062,2009,10,01
2009-09-01,3.169,2009,09,01
2009-08-01,3.057,2009,08,01
2009-07-01,2.92,2009,07,01
2009-06-01,2.969,2009,06,01
2009-05-01,2.531,2009,05,01
2009-04-01,2.377,2009,04,01
2009-03-01,2.239,2009,03,01
2009-02-01,2.265,2009,02,01
2009-01-01,2.051,2009,01,01
2008-12-01,1.871,2008,12,01
2008-11-01,2.507,2008,11,01
2008-10-01,3.44,2008,10,01
2008-09-01,3.842,2008,09,01
2008-08-01,4.128,2008,08,01
2008-07-01,4.511,2008,07,01
2008-06-01,4.531,2008,06,01
2008-05-01,4.015,2008,05,01
2008-04-01,3.846,2008,04,01
2008-03-01,3.609,2008,03,01
2008-02-01,3.231,2008,02,01
2008-01-01,3.296,2008,01,01
2007-12-01,3.353,2007,12,01
2007-11-01,3.394,2007,11,01
2007-10-01,3.112,2007,10,01
2007-09-01,2.922,2007,09,01
2007-08-01,2.948,2007,08,01
2007-07-01,3.174,2007,07,01
2007-06-01,3.329,2007,06,01
2007-05-01,3.485,2007,05,01
2007-04-01,3.339,2007,04,01
2007-03-01,3.105,2007,03,01
2007-02-01,2.713,2007,02,01
2007-01-01,2.616,2007,01,01
2006-12-01,2.587,2006,12,01
2006-11-01,2.508,2006,11,01
2006-10-01,2.593,2006,10,01
2006-09-01,2.937,2006,09,01
2006-08-01,3.212,2006,08,01
2006-07-01,3.26,2006,07,01
2006-06-01,3.26,2006,06,01
2006-05-01,3.337,2006,05,01
2006-04-01,2.925,2006,04,01
2006-03-01,2.624,2006,03,01
2006-02-01,2.54,2006,02,01
2006-01-01,2.424,2006,01,01
2005-12-01,2.319,2005,12,01
2005-11-01,2.57,2005,11,01
2005-10-01,2.926,2005,10,01
2005-09-01,3.032,2005,09,01
2005-08-01,2.721,2005,08,01
2005-07-01,2.559,2005,07,01
2005-06-01,2.41,2005,06,01
2005-05-01,2.52,2005,05,01
2005-04-01,2.596,2005,04,01
2005-03-01,2.346,2005,03,01
2005-02-01,2.163,2005,02,01
2005-01-01,2.016,2005,01,01
2004-12-01,2.143,2004,12,01
2004-11-01,2.35,2004,11,01
2004-10-01,2.376,2004,10,01
2004-09-01,2.115,2004,09,01
2004-08-01,2.131,2004,08,01
2004-07-01,2.233,2004,07,01
2004-06-01,2.322,2004,06,01
2004-05-01,2.298,2004,05,01
2004-04-01,2.185,2004,04,01
2004-03-01,2.143,2004,03,01
2004-02-01,1.914,2004,02,01
2004-01-01,1.722,2004,01,01
2003-12-01,1.681,2003,12,01
2003-11-01,1.74,2003,11,01
2003-10-01,1.839,2003,10,01
2003-09-01,2.068,2003,09,01
2003-08-01,1.913,2003,08,01
2003-07-01,1.789,2003,07,01
2003-06-01,1.809,2003,06,01
2003-05-01,1.89,2003,05,01
2003-04-01,2.092,2003,04,01
2003-03-01,2.15,2003,03,01
2003-02-01,1.853,2003,02,01
2003-01-01,1.662,2003,01,01
