ds,y,year,month,day
2022-05-09,5.748,2022,05,09
2022-05-02,5.629,2022,05,02
2022-04-25,5.609,2022,04,25
2022-04-18,5.641,2022,04,18
2022-04-11,5.715,2022,04,11
2022-04-04,5.804,2022,04,04
2022-03-28,5.856,2022,03,28
2022-03-21,5.802,2022,03,21
2022-03-14,5.68,2022,03,14
2022-03-07,5.283,2022,03,07
2022-02-28,4.762,2022,02,28
2022-02-21,4.662,2022,02,21
2022-02-14,4.617,2022,02,14
2022-02-07,4.598,2022,02,07
2022-01-31,4.576,2022,01,31
2022-01-24,4.574,2022,01,24
2022-01-17,4.586,2022,01,17
2022-01-10,4.592,2022,01,10
2022-01-03,4.59,2022,01,03
2021-12-27,4.575,2021,12,27
2021-12-20,4.592,2021,12,20
2021-12-13,4.602,2021,12,13
2021-12-06,4.617,2021,12,06
2021-11-29,4.642,2021,11,29
2021-11-22,4.64,2021,11,22
2021-11-15,4.619,2021,11,15
2021-11-08,4.561,2021,11,08
2021-11-01,4.529,2021,11,01
2021-10-25,4.483,2021,10,25
2021-10-18,4.429,2021,10,18
2021-10-11,4.356,2021,10,11
2021-10-04,4.33,2021,10,04
2021-09-27,4.306,2021,09,27
2021-09-20,4.305,2021,09,20
2021-09-13,4.312,2021,09,13
2021-09-06,4.315,2021,09,06
2021-08-30,4.314,2021,08,30
2021-08-23,4.316,2021,08,23
2021-08-16,4.344,2021,08,16
2021-08-09,4.321,2021,08,09
2021-08-02,4.302,2021,08,02
2021-07-26,4.262,2021,07,26
2021-07-19,4.265,2021,07,19
2021-07-12,4.253,2021,07,12
2021-07-05,4.231,2021,07,05
2021-06-28,4.217,2021,06,28
2021-06-21,4.174,2021,06,21
2021-06-14,4.172,2021,06,14
2021-06-07,4.163,2021,06,07
2021-05-31,4.142,2021,05,31
2021-05-24,4.1,2021,05,24
2021-05-17,4.068,2021,05,17
2021-05-10,4.039,2021,05,10
2021-05-03,3.993,2021,05,03
2021-04-26,3.948,2021,04,26
2021-04-19,3.924,2021,04,19
2021-04-12,3.894,2021,04,12
2021-04-05,3.876,2021,04,05
2021-03-29,3.859,2021,03,29
2021-03-22,3.848,2021,03,22
2021-03-15,3.819,2021,03,15
2021-03-08,3.725,2021,03,08
2021-03-01,3.652,2021,03,01
2021-02-22,3.54,2021,02,22
2021-02-15,3.434,2021,02,15
2021-02-08,3.403,2021,02,08
2021-02-01,3.358,2021,02,01
2021-01-25,3.329,2021,01,25
2021-01-18,3.298,2021,01,18
2021-01-11,3.233,2021,01,11
2021-01-04,3.186,2021,01,04
2020-12-28,3.172,2020,12,28
2020-12-21,3.148,2020,12,21
2020-12-14,3.126,2020,12,14
2020-12-07,3.127,2020,12,07
2020-11-30,3.118,2020,11,30
2020-11-23,3.112,2020,11,23
2020-11-16,3.114,2020,11,16
2020-11-09,3.114,2020,11,09
2020-11-02,3.118,2020,11,02
2020-10-26,3.134,2020,10,26
2020-10-19,3.132,2020,10,19
2020-10-12,3.135,2020,10,12
2020-10-05,3.145,2020,10,05
2020-09-28,3.155,2020,09,28
2020-09-21,3.169,2020,09,21
2020-09-14,3.185,2020,09,14
2020-09-07,3.188,2020,09,07
2020-08-31,3.184,2020,08,31
2020-08-24,3.175,2020,08,24
2020-08-17,3.15,2020,08,17
2020-08-10,3.135,2020,08,10
2020-08-03,3.137,2020,08,03
2020-07-27,3.132,2020,07,27
2020-07-20,3.11,2020,07,20
2020-07-13,3.101,2020,07,13
2020-07-06,3.063,2020,07,06
2020-06-29,3.044,2020,06,29
2020-06-22,3.022,2020,06,22
2020-06-15,2.976,2020,06,15
2020-06-08,2.937,2020,06,08
2020-06-01,2.882,2020,06,01
2020-05-25,2.85,2020,05,25
2020-05-18,2.775,2020,05,18
2020-05-11,2.737,2020,05,11
2020-05-04,2.721,2020,05,04
2020-04-27,2.737,2020,04,27
2020-04-20,2.785,2020,04,20
2020-04-13,2.834,2020,04,13
2020-04-06,2.953,2020,04,06
2020-03-30,3.031,2020,03,30
2020-03-23,3.142,2020,03,23
2020-03-16,3.298,2020,03,16
2020-03-09,3.403,2020,03,09
2020-03-02,3.435,2020,03,02
2020-02-24,3.443,2020,02,24
2020-02-17,3.441,2020,02,17
2020-02-10,3.449,2020,02,10
2020-02-03,3.455,2020,02,03
2020-01-27,3.467,2020,01,27
2020-01-20,3.487,2020,01,20
2020-01-13,3.497,2020,01,13
2020-01-06,3.505,2020,01,06
2019-12-30,3.517,2019,12,30
2019-12-23,3.536,2019,12,23
2019-12-16,3.588,2019,12,16
2019-12-09,3.657,2019,12,09
2019-12-02,3.75,2019,12,02
2019-11-25,3.825,2019,11,25
2019-11-18,3.918,2019,11,18
2019-11-11,3.999,2019,11,11
2019-11-04,4.035,2019,11,04
2019-10-28,4.021,2019,10,28
2019-10-21,4.106,2019,10,21
2019-10-14,4.166,2019,10,14
2019-10-07,4.169,2019,10,07
2019-09-30,4.034,2019,09,30
2019-09-23,3.689,2019,09,23
2019-09-16,3.571,2019,09,16
2019-09-09,3.57,2019,09,09
2019-09-02,3.569,2019,09,02
2019-08-26,3.514,2019,08,26
2019-08-19,3.535,2019,08,19
2019-08-12,3.56,2019,08,12
2019-08-05,3.612,2019,08,05
2019-07-29,3.625,2019,07,29
2019-07-22,3.642,2019,07,22
2019-07-15,3.679,2019,07,15
2019-07-08,3.701,2019,07,08
2019-07-01,3.695,2019,07,01
2019-06-24,3.683,2019,06,24
2019-06-17,3.749,2019,06,17
2019-06-10,3.816,2019,06,10
2019-06-03,3.898,2019,06,03
2019-05-27,3.949,2019,05,27
2019-05-20,4.006,2019,05,20
2019-05-13,4.041,2019,05,13
2019-05-06,4.08,2019,05,06
2019-04-29,4.058,2019,04,29
2019-04-22,4.021,2019,04,22
2019-04-15,3.996,2019,04,15
2019-04-08,3.792,2019,04,08
2019-04-01,3.602,2019,04,01
2019-03-25,3.463,2019,03,25
2019-03-18,3.338,2019,03,18
2019-03-11,3.297,2019,03,11
2019-03-04,3.271,2019,03,04
2019-02-25,3.259,2019,02,25
2019-02-18,3.241,2019,02,18
2019-02-11,3.235,2019,02,11
2019-02-04,3.208,2019,02,04
2019-01-28,3.206,2019,01,28
2019-01-21,3.224,2019,01,21
2019-01-14,3.237,2019,01,14
2019-01-07,3.261,2019,01,07
2018-12-31,3.296,2018,12,31
2018-12-24,3.332,2018,12,24
2018-12-17,3.345,2018,12,17
2018-12-10,3.394,2018,12,10
2018-12-03,3.473,2018,12,03
2018-11-26,3.555,2018,11,26
2018-11-19,3.599,2018,11,19
2018-11-12,3.656,2018,11,12
2018-11-05,3.716,2018,11,05
2018-10-29,3.754,2018,10,29
2018-10-22,3.783,2018,10,22
2018-10-15,3.783,2018,10,15
2018-10-08,3.781,2018,10,08
2018-10-01,3.699,2018,10,01
2018-09-24,3.601,2018,09,24
2018-09-17,3.594,2018,09,17
2018-09-10,3.585,2018,09,10
2018-09-03,3.572,2018,09,03
2018-08-27,3.546,2018,08,27
2018-08-20,3.538,2018,08,20
2018-08-13,3.563,2018,08,13
2018-08-06,3.576,2018,08,06
2018-07-30,3.579,2018,07,30
2018-07-23,3.588,2018,07,23
2018-07-16,3.609,2018,07,16
2018-07-09,3.626,2018,07,09
