ds,zip,vehs
2021-01-01,90001,12
2021-01-01,90003,24
2021-01-01,90004,20
2021-01-01,90005,12
2021-01-01,90006,15
2021-01-01,90007,11
2021-01-01,90011,32
2021-01-01,90016,15
2021-01-01,90018,18
2021-01-01,90019,24
2021-01-01,90022,20
2021-01-01,90023,12
2021-01-01,90025,18
2021-01-01,90026,16
2021-01-01,90032,18
2021-01-01,90033,15
2021-01-01,90034,19
2021-01-01,90035,11
2021-01-01,90037,21
2021-01-01,90039,12
2021-01-01,90041,11
2021-01-01,90042,22
2021-01-01,90043,12
2021-01-01,90044,31
2021-01-01,90045,22
2021-01-01,90046,15
2021-01-01,90047,11
2021-01-01,90057,14
2021-01-01,90062,11
2021-01-01,90063,11
2021-01-01,90064,17
2021-01-01,90065,17
2021-01-01,90066,29
2021-01-01,90201,37
2021-01-01,90220,11
2021-01-01,90221,13
2021-01-01,90222,11
2021-01-01,90230,13
2021-01-01,90240,13
2021-01-01,90241,17
2021-01-01,90242,19
2021-01-01,90247,21
2021-01-01,90249,13
2021-01-01,90250,31
2021-01-01,90254,12
2021-01-01,90255,24
2021-01-01,90260,16
2021-01-01,90262,23
2021-01-01,90266,27
2021-01-01,90270,11
2021-01-01,90272,12
2021-01-01,90274,16
2021-01-01,90275,40
2021-01-01,90277,30
2021-01-01,90278,33
2021-01-01,90280,29
2021-01-01,90292,11
2021-01-01,90293,11
2021-01-01,90301,13
2021-01-01,90305,11
2021-01-01,90403,11
2021-01-01,90405,13
2021-01-01,90501,21
2021-01-01,90502,12
2021-01-01,90503,33
2021-01-01,90504,27
2021-01-01,90505,30
2021-01-01,90601,13
2021-01-01,90604,23
2021-01-01,90605,11
2021-01-01,90620,30
2021-01-01,90621,13
2021-01-01,90623,11
2021-01-01,90630,32
2021-01-01,90631,23
2021-01-01,90638,18
2021-01-01,90640,38
2021-01-01,90650,43
2021-01-01,90660,28
2021-01-01,90680,12
2021-01-01,90703,46
2021-01-01,90706,21
2021-01-01,90710,12
2021-01-01,90712,11
2021-01-01,90715,19
2021-01-01,90720,12
2021-01-01,90723,21
2021-01-01,90731,17
2021-01-01,90740,11
2021-01-01,90744,23
2021-01-01,90745,28
2021-01-01,90802,13
2021-01-01,90803,18
2021-01-01,90804,19
2021-01-01,90805,37
2021-01-01,90806,17
2021-01-01,90808,17
2021-01-01,90810,13
2021-01-01,90813,22
2021-01-01,90815,19
